energy_100g,sugars_100g,fat_100g,saturated_fat_100g,sodium_100g,salt_100g,fiber_100g,proteins_100g,carbohydrates_100g,ingredient_count,additive_count,has_artificial_sweetener,has_preservatives,has_harmful_additives,processed_score,sugar_to_carb_ratio,sat_fat_to_fat_ratio,calorie_bucket,sugar_level,salt_level,fiber_quality,label
358.974358974359,5.12820512820513,6.41025641025641,1.28205128205128,0.487179487179487,1.21794871794872,10.2564102564103,12.8205128205128,74.3589743589744,25,0,0,0,0,7.5,0.069,0.2,2,1,1,2,3.57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,3.0,0.0,0.0,0,0,0,0,4.93
42.1212121212121,10.6060606060606,0.0,0.0,0.0,0.0,0.0,0.0,10.6060606060606,9,1,0,0,0,4.199999999999999,1.0,0.0,0,1,0,0,2.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.16
385.0,13.46,7.69,1.92,0.288,0.72,1.9,9.62,71.15,20,0,0,0,0,6.0,0.1892,0.2497,2,1,1,0,2.58
465.0,31.5,17.5,5.5,0.2,0.5,4.0,6.5,70.0,19,0,0,0,0,5.7,0.45,0.3143,2,2,1,1,0.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.16
